S.No.,State Code,State Name (In English),District Code,District Name (In English),Development Block Code,Development Block Version,Development Block Name (In English),Development Block Name (In Local)
1,35,Andaman And Nicobar Islands,603,Nicobars,6498,5,Campbell Bay,
2,35,Andaman And Nicobar Islands,603,Nicobars,6499,1,Car Nicobar,
3,35,Andaman And Nicobar Islands,603,Nicobars,6500,1,Nancowrie,
4,35,Andaman And Nicobar Islands,632,North And Middle Andaman,6492,1,Diglipur,
5,35,Andaman And Nicobar Islands,632,North And Middle Andaman,6495,1,Mayabunder,
6,35,Andaman And Nicobar Islands,632,North And Middle Andaman,6497,1,Rangat,
7,35,Andaman And Nicobar Islands,602,South Andamans,6493,1,Ferrargunj,
8,35,Andaman And Nicobar Islands,602,South Andamans,6494,1,Little Andaman,
9,35,Andaman And Nicobar Islands,602,South Andamans,6496,1,Prothrapur,
10,28,Andhra Pradesh,745,Alluri Sitharama Raju,5584,2,Ananthagiri,
11,28,Andhra Pradesh,745,Alluri Sitharama Raju,5585,2,Araku Valley,
12,28,Andhra Pradesh,745,Alluri Sitharama Raju,5589,2,Chintapalle,
13,28,Andhra Pradesh,745,Alluri Sitharama Raju,5592,2,Dumbriguda,
14,28,Andhra Pradesh,745,Alluri Sitharama Raju,5593,2,G.Madugula,
15,28,Andhra Pradesh,745,Alluri Sitharama Raju,5596,2,Gudem Kotha Veedhi,
16,28,Andhra Pradesh,745,Alluri Sitharama Raju,5597,3,Hukumpeta,
17,28,Andhra Pradesh,745,Alluri Sitharama Raju,5601,2,Koyyuru,
18,28,Andhra Pradesh,745,Alluri Sitharama Raju,5605,2,Munchingi Puttu,
19,28,Andhra Pradesh,745,Alluri Sitharama Raju,5609,2,Paderu,
20,28,Andhra Pradesh,745,Alluri Sitharama Raju,5613,2,Peda Bayalu,
21,28,Andhra Pradesh,744,Anakapalli,5581,2,Achutapuram,
22,28,Andhra Pradesh,744,Anakapalli,5582,2,Anakapalle,
23,28,Andhra Pradesh,744,Anakapalli,5587,2,Butchayyapeta,
24,28,Andhra Pradesh,744,Anakapalli,5588,2,Cheedikada,
25,28,Andhra Pradesh,744,Anakapalli,5590,2,Chodavaram,
26,28,Andhra Pradesh,744,Anakapalli,5591,2,Devarapalle,
27,28,Andhra Pradesh,744,Anakapalli,5595,2,Golugonda,
28,28,Andhra Pradesh,744,Anakapalli,5599,2,Kasimkota,
29,28,Andhra Pradesh,744,Anakapalli,5598,2,K.Kotapadu,
30,28,Andhra Pradesh,744,Anakapalli,5600,2,Kotauratla,
31,28,Andhra Pradesh,744,Anakapalli,5602,2,Madugula,
32,28,Andhra Pradesh,744,Anakapalli,5603,2,Makavarapalem,
33,28,Andhra Pradesh,744,Anakapalli,5604,2,Munagapaka,
34,28,Andhra Pradesh,744,Anakapalli,5606,2,Nakkapalle,
35,28,Andhra Pradesh,744,Anakapalli,5607,2,Narsipatnam,
36,28,Andhra Pradesh,744,Anakapalli,5608,2,Nathavaram,
37,28,Andhra Pradesh,744,Anakapalli,5611,2,Paravada,
38,28,Andhra Pradesh,744,Anakapalli,5612,2,Payakaraopeta,
39,28,Andhra Pradesh,744,Anakapalli,5616,2,Rambilli,
40,28,Andhra Pradesh,744,Anakapalli,5617,3,Ravikamatham,
41,28,Andhra Pradesh,744,Anakapalli,5618,2,Rolugunta,
42,28,Andhra Pradesh,744,Anakapalli,5620,2,Sabbavaram,
43,28,Andhra Pradesh,744,Anakapalli,5619,2,S.Rayavaram,
44,28,Andhra Pradesh,744,Anakapalli,5622,2,Yelamanchili,
45,28,Andhra Pradesh,502,Ananthapuramu,4689,1,Anantapur,
46,28,Andhra Pradesh,502,Ananthapuramu,4690,1,Atmakur,
47,28,Andhra Pradesh,502,Ananthapuramu,4692,1,Beluguppa,
48,28,Andhra Pradesh,502,Ananthapuramu,4693,1,Bommanahal,
49,28,Andhra Pradesh,502,Ananthapuramu,4694,1,Brahmasamudram,
50,28,Andhra Pradesh,502,Ananthapuramu,4696,1,Bukkarayasamudram,
51,28,Andhra Pradesh,502,Ananthapuramu,4699,1,D.Hirehal,
52,28,Andhra Pradesh,502,Ananthapuramu,4702,1,Garladinne,
53,28,Andhra Pradesh,502,Ananthapuramu,4703,1,Gooty,
54,28,Andhra Pradesh,502,Ananthapuramu,4706,1,Gummagatta,
55,28,Andhra Pradesh,502,Ananthapuramu,4707,1,Guntakal,
56,28,Andhra Pradesh,502,Ananthapuramu,4710,1,Kalyandrug,
57,28,Andhra Pradesh,502,Ananthapuramu,4711,1,Kambadur,
58,28,Andhra Pradesh,502,Ananthapuramu,4713,1,Kanekal,
59,28,Andhra Pradesh,502,Ananthapuramu,4715,1,Kudair,
60,28,Andhra Pradesh,502,Ananthapuramu,4716,1,Kundurpi,
61,28,Andhra Pradesh,502,Ananthapuramu,4723,1,Narpala,
62,28,Andhra Pradesh,502,Ananthapuramu,4725,1,Pamidi,
63,28,Andhra Pradesh,502,Ananthapuramu,4727,1,Peddapappur,
64,28,Andhra Pradesh,502,Ananthapuramu,4728,1,Peddavadugur,
65,28,Andhra Pradesh,502,Ananthapuramu,4730,1,Putlur,
66,28,Andhra Pradesh,502,Ananthapuramu,4733,1,Raptadu,
67,28,Andhra Pradesh,502,Ananthapuramu,4734,1,Rayadurg,
68,28,Andhra Pradesh,502,Ananthapuramu,4737,1,Settur,
69,28,Andhra Pradesh,502,Ananthapuramu,4738,1,Singanamala,
70,28,Andhra Pradesh,502,Ananthapuramu,4741,1,Tadipatri,
71,28,Andhra Pradesh,502,Ananthapuramu,4744,1,Uravakonda,
72,28,Andhra Pradesh,502,Ananthapuramu,4745,1,Vajrakarur,
73,28,Andhra Pradesh,502,Ananthapuramu,4746,1,Vidapanakal,
74,28,Andhra Pradesh,502,Ananthapuramu,4747,1,Yadiki,
75,28,Andhra Pradesh,502,Ananthapuramu,4748,1,Yellanur,
76,28,Andhra Pradesh,753,Annamayya,4749,2,B.Kothakota,
77,28,Andhra Pradesh,753,Annamayya,4822,2,Chinnamandem,
78,28,Andhra Pradesh,753,Annamayya,4756,2,Chowdepalle,
79,28,Andhra Pradesh,753,Annamayya,4826,2,Galiveedu,
80,28,Andhra Pradesh,753,Annamayya,4761,2,Gurramkonda,
81,28,Andhra Pradesh,753,Annamayya,4764,2,Kalakada,
82,28,Andhra Pradesh,753,Annamayya,4765,2,Kalikiri,
83,28,Andhra Pradesh,753,Annamayya,4766,2,Kambhamvaripalle,
84,28,Andhra Pradesh,753,Annamayya,4769,2,Kurabalakota,
85,28,Andhra Pradesh,753,Annamayya,4834,2,Lakkireddipalle,
86,28,Andhra Pradesh,753,Annamayya,4770,2,Madanapalle,
87,28,Andhra Pradesh,753,Annamayya,4771,2,Mulakalacheruvu,
88,28,Andhra Pradesh,753,Annamayya,4775,2,Nimmanapalle,
89,28,Andhra Pradesh,753,Annamayya,4780,2,Peddamandyam,
90,28,Andhra Pradesh,753,Annamayya,4782,2,Peddathippasamudram,
91,28,Andhra Pradesh,753,Annamayya,4784,2,Piler,
92,28,Andhra Pradesh,753,Annamayya,4787,2,Punganur,
93,28,Andhra Pradesh,753,Annamayya,4850,2,Ramapuram,
94,28,Andhra Pradesh,753,Annamayya,4792,2,Ramasamudram,
95,28,Andhra Pradesh,753,Annamayya,4851,2,Rayachoty,
96,28,Andhra Pradesh,753,Annamayya,4852,2,Sambepalle,
97,28,Andhra Pradesh,753,Annamayya,4797,2,Sodam,
98,28,Andhra Pradesh,753,Annamayya,4798,2,Somala,
99,28,Andhra Pradesh,753,Annamayya,4801,2,Thamballapalle,
100,28,Andhra Pradesh,753,Annamayya,4807,2,Valmikipuram,
101,28,Andhra Pradesh,750,Bapatla,4924,2,Amruthalur,
102,28,Andhra Pradesh,750,Bapatla,4926,2,Bapatla,
103,28,Andhra Pradesh,750,Bapatla,4928,2,Bhattiprolu,
104,28,Andhra Pradesh,750,Bapatla,4931,2,Cherukupalle,
105,28,Andhra Pradesh,750,Bapatla,5460,2,Chinaganjam,
106,28,Andhra Pradesh,750,Bapatla,5461,2,Chirala,
107,28,Andhra Pradesh,750,Bapatla,5469,2,Inkollu,
108,28,Andhra Pradesh,750,Bapatla,5473,2,Karamchedu,
109,28,Andhra Pradesh,750,Bapatla,4942,2,Karlapalem,
110,28,Andhra Pradesh,750,Bapatla,4944,2,Kollur,
111,28,Andhra Pradesh,750,Bapatla,5484,2,Martur,
112,28,Andhra Pradesh,750,Bapatla,4952,2,Nagaram,
113,28,Andhra Pradesh,750,Bapatla,4955,2,Nizampatnam,
114,28,Andhra Pradesh,750,Bapatla,5489,2,Parchur,
115,28,Andhra Pradesh,750,Bapatla,4962,2,Pittalavanipalem,
116,28,Andhra Pradesh,750,Bapatla,4967,2,Repalle,
117,28,Andhra Pradesh,750,Bapatla,4975,2,Tsundur,
118,28,Andhra Pradesh,750,Bapatla,4978,2,Vemuru,
119,28,Andhra Pradesh,750,Bapatla,5505,2,Vetapalem,
120,28,Andhra Pradesh,750,Bapatla,5507,2,Yddana Pudi,
121,28,Andhra Pradesh,503,Chittoor,4750,1,Baireddipalle,
122,28,Andhra Pradesh,503,Chittoor,4751,1,Bangarupalem,
123,28,Andhra Pradesh,503,Chittoor,4755,1,Chittoor,
124,28,Andhra Pradesh,503,Chittoor,4757,1,Gangadhara Nellore,
125,28,Andhra Pradesh,503,Chittoor,4758,1,Gangavaram,
126,28,Andhra Pradesh,503,Chittoor,4759,1,Gudipala,
127,28,Andhra Pradesh,503,Chittoor,4760,1,Gudupalle,
128,28,Andhra Pradesh,503,Chittoor,4762,1,Irala,
129,28,Andhra Pradesh,503,Chittoor,4767,1,Karvetinagar,
130,28,Andhra Pradesh,503,Chittoor,4768,1,Kuppam,
131,28,Andhra Pradesh,503,Chittoor,4773,1,Nagari,
132,28,Andhra Pradesh,503,Chittoor,4776,1,Nindra,
133,28,Andhra Pradesh,503,Chittoor,4778,1,Palamaner,
134,28,Andhra Pradesh,503,Chittoor,4779,1,Palasamudram,
135,28,Andhra Pradesh,503,Chittoor,4781,1,Peddapanjani,
136,28,Andhra Pradesh,503,Chittoor,4783,1,Penumuru,
137,28,Andhra Pradesh,503,Chittoor,4786,1,Pulicherla H/O Reddivaripalle,
138,28,Andhra Pradesh,503,Chittoor,4788,1,Puthalapattu,
139,28,Andhra Pradesh,503,Chittoor,4791,1,Ramakuppam,
140,28,Andhra Pradesh,503,Chittoor,4794,1,Rompicherla,
141,28,Andhra Pradesh,503,Chittoor,4795,1,Santhipuram Ho Arimuthanapalle,
142,28,Andhra Pradesh,503,Chittoor,4800,1,Srirangarajapuram,
143,28,Andhra Pradesh,503,Chittoor,4802,1,Thavanampalle,
144,28,Andhra Pradesh,503,Chittoor,4809,1,Vedurukuppam,
145,28,Andhra Pradesh,503,Chittoor,4810,1,Venkatagirikota,
146,28,Andhra Pradesh,503,Chittoor,4811,1,Vijayapuram,
147,28,Andhra Pradesh,503,Chittoor,4812,1,Yadamari,
148,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4866,2,Ainavilli,
149,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4867,2,Alamuru,
150,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4868,2,Allavaram,
151,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4869,2,Amalapuram,
152,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4870,2,Ambajipeta,
153,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4872,2,Atreyapuram,
154,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4879,2,I. Polavaram,
155,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4886,2,Katrenikona,
156,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4891,2,Kothapeta,
157,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4892,2,Malikipuram,
158,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4893,2,Mamidikuduru,
159,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4896,2,Mummidivaram,
160,28,Andhra Pradesh,747,Dr. B.R. Ambedkar Konaseema,4898,2,Pamarru,
